id,title,genres,vote_average,Plot
315162,Puss in Boots: The Last Wish,Animation-Family-Fantasy-Adventure-Comedy,8.284,puss in boot discov that hi passion for adventur ha taken it toll : he ha burn through eight of hi nine live leav him with onli one life left . puss set out on an epic journey to find the mythic last wish and restor hi nine live . fairi tale-talk dog-spin off-aftercreditsstinger-talk cat-fear of death animation-family-fantasy-adventure-comedi puss in boot : the last wish
267805,There Are No Saints,Action,5.6,a man is imprison for a crime he did n't commit . when hi wife is murder and hi son kidnap and taken to mexico he devis an elabor and danger plan to rescu hi son and aveng the murder . prison-mexico-kidnapping-murder-rescue-innocent-aveng action there are no saint
748783,The Garfield Movie,Animation-Comedy-Family-Adventure-Action,7.179,garfield the world-fam monday-h lasagna-lov indoor cat is about to have a wild outdoor adventur ! after an unexpect reunion with hi long-lost father – scruffi street cat vic – garfield and hi canin friend odi are forc from their perfectli pamper life into join vic in a hilari high-stak heist . friendship-cat-villain-bas on comic-lasagne-comput animation-bas on cartoon-food-dog-femal villain-aftercreditsstinger-fath son relationship-adaptation-adoring-joy animation-comedy-family-adventure-act the garfield movi
940551,Migration,Animation-Action-Adventure-Comedy-Family,7.563,after a migrat duck famili alight on their pond with thrill tale of far-flung place the mallard famili embark on a famili road trip from new england to new york citi to tropic jamaica . duck-migration-flight-anthropomorphism-family-animal-chef-overprotect father-illumination-bird animation-action-adventure-comedy-famili migrat
882569,Guy Ritchie's The Covenant,War-Action-Thriller,7.662,dure the war in afghanistan a local interpret risk hi own life to carri an injur sergeant across mile of gruel terrain . ambush-interpreter-afghanistan-afghanistan war ( 2001- ) -rescue-war war-action-thril guy ritchi 's the coven
299054,Expend4bles,Action-Adventure-Thriller,6.431,arm with everi weapon they can get their hand on and the skill to use them the expend are the world ’ s last line of defens and the team that get call when all other option are off the tabl . but new team member with new style and tactic are go to give “ new blood ” a whole new mean . sequel-nuclear bomb-cargo ship-r action-adventure-thril expend4bl
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation-Comedy-Action,7.248,after year of be shelter from the human world the turtl brother set out to win the heart of new yorker and be accept as normal teenag through heroic act . their new friend april o'neil help them take on a mysteri crime syndic but they soon get in over their head when an armi of mutant is unleash upon them . new york city-s relationship-skateboarding-crim fighter-turtle-superhero-ninja-duringcreditsstinger-teenag mutant ninja turtles-aspir journalist-anthropomorph anim animation-comedy-act teenag mutant ninja turtl : mutant mayhem
603692,John Wick: Chapter 4,Action-Thriller-Crime,7.827,with the price on hi head ever increas john wick uncov a path to defeat the high tabl . but befor he can earn hi freedom wick must face off against a new enemi with power allianc across the globe and forc that turn old friend into foe . new york city-marti arts-hitman-sequel-organ crime-osaka japan-aftercreditsstinger-hunted-profession assassin-neo-noir-berlin action-thriller-crim john wick : chapter 4
713704,Evil Dead Rise,Thriller-Horror,7.038,a reunion between two estrang sister get cut short by the rise of flesh-possess demon thrust them into a primal battl for surviv as they face the most nightmarish version of famili imagin . sibl relationship-earthquake-pregnancy-sequel-gore-lo angel california-demon-evil-necronomicon-reboot-demon possession-motherhood-sisterhood-sist sister relationship-bodi horror-apart thriller-horror evil dead rise
646683,The Exorcism,Horror-Thriller,4.568,a troubl actor begin to unravel while shoot a supernatur horror film lead hi estrang daughter to wonder if he 's slip back into hi past addict or if there 's someth more sinist at play . exorcism-surviv horror-broken family-psycholog horror-amus horror-thril the exorc
852096,We Have a Ghost,Fantasy-Family-Comedy-Adventure,6.587,after kevin find a ghost name ernest haunt hi new home he becom an overnight social media sensat . but when kevin and ernest go rogu to investig the mysteri of the latter 's past they becom target of the cia . cia-haunt house-ghost-soci media fantasy-family-comedy-adventur we have a ghost
385687,Fast X,Action-Crime-Thriller,7.1,over mani mission and against imposs odd dom toretto and hi famili have outsmart out-nerv and outdriven everi foe in their path . now they confront the most lethal oppon they 've ever face : a terrifi threat emerg from the shadow of the past who 's fuel by blood reveng and who is determin to shatter thi famili and destroy everything—and everyone—that dom love forev . sequel-revenge-betrayal-racing-family-cliffhanger-shocking-cars-foreboding-ominous-urg action-crime-thril fast x
676547,Prey for the Devil,Horror-Thriller,7.209,in respons to a global rise in demon possess the cathol church reopen exorc school to train priest in the rite of exorc . on thi spiritu battlefield an unlik warrior rise : a young nun sister ann . thrust onto the spiritu frontlin with fellow student father dant sister ann find herself in a battl for the soul of a young girl and soon realiz the devil ha her right where he want her . nun-exorcism-cathol church-demon possess horror-thril prey for the devil
718821,Twisters,Action-Adventure-Drama,7.145,as storm season intensifi the path of former storm chaser kate carter and reckless social-media superstar tyler owen collid when terrifi phenomena never seen befor are unleash . the pair and their compet team find themselv squar in the path of multipl storm system converg over central oklahoma in the fight of their live . tornado-twister-natur disaster-oklahoma-storm chaser-disaster-storm-disast movie-soci media influencer-exhilarated-exuber action-adventure-drama twister
838484,Choose or Die,Horror-Thriller-Science Fiction,5.371,in pursuit of an unclaim $ 125000 prize a broke colleg dropout decid to play an obscur 1980 surviv comput game . but the game curs her and she ’ s face with danger choic and reality-warp challeng . after a seri of unexpectedli terrifi moment she realiz she ’ s no longer play for the money but for her life . video game-computer-prize-tech noir-quest-1980s-curs horror-thriller-sci fiction choos or die
746036,The Fall Guy,Action-Comedy,7.227,fresh off an almost career-end accid stuntman colt seaver ha to track down a miss movi star solv a conspiraci and tri to win back the love of hi life while still do hi day job . stuntman-miss person-duringcreditsstinger-movi industry-act comedy-bas on tv series-factual-amused-joy action-comedi the fall guy
